cluster	type	A_w	B_w	S_w	A_np	A_lnl	S_np	S_lnl		delta_np	delta_lnl	P
10	Tmi-VS-All	0.07353	0.06979	0.17487	9	-11061.241944	10	-11056.148098	1	10.1876919999995	0.001413812
10	TmiTsi-VS-All	0.07353	0.07485	0.06471	9	-11061.241944	10	-11061.074058	1	0.335771999998542	0.562279930
10	Tsi-VS-All	0.07353	0.06933	0.25211	9	-11061.241944	10	-11053.694794	1	15.0943000000007	0.000102272
100	Tmi-VS-All	0.03907	0.03529	0.15117	9	-440.093249	10	-439.562770	1	1.06095800000003	0.302996789
100	TmiTsi-VS-All	0.03907	0.03607	0.09377	9	-440.093249	10	-439.985209	1	0.216080000000034	0.642043133
100	Tsi-VS-All	0.03907	0.03907	0.00010	9	-440.093249	10	-440.093244	1	9.99999997475243e-06	0.997476872
1000	Tmi-VS-All	0.02820	0.02550	0.12951	9	-19641.251953	10	-19619.628827	1	43.2462519999972	0.000000000
1000	TmiTsi-VS-All	0.02820	0.02589	0.04406	9	-19641.251953	10	-19637.248800	1	8.00630599999567	0.004661473
1000	Tsi-VS-All	0.02820	0.02743	0.07568	9	-19641.251953	10	-19637.938936	1	6.6260340000008	0.010049878
10000	Tmi-VS-All	0.16195	0.15669	0.31785	9	-7084.467607	10	-7082.769198	1	3.39681799999926	0.065322318
10000	TmiTsi-VS-All	0.16195	0.15595	0.20447	9	-7084.467607	10	-7084.040614	1	0.853986000000077	0.355427158
10000	Tsi-VS-All	0.16195	0.15582	0.39557	9	-7084.467607	10	-7082.025416	1	4.88438199999837	0.027100735
10002	Tmi-VS-All	0.09577	0.09678	0.07518	9	-3903.710896	10	-3903.619609	1	0.182574000000386	0.669170454
10002	TmiTsi-VS-All	0.09577	0.08943	0.14401	9	-3903.710896	10	-3902.757738	1	1.90631600000052	0.167373058
10002	Tsi-VS-All	0.09577	0.09133	0.23088	9	-3903.710896	10	-3902.175872	1	3.0700480000005	0.079747119
