cluster	type	A_w	B_w	S_w	A_np	A_lnl	S_np	S_lnl		delta_np	delta_lnl	P	fdr
10	Tmi-VS-All	0.07353	0.06979	0.17487	9	-11061.241944	10	-11056.148098	1	10.1876919999995	0.001413812	 0.0107442903916533
100	Tmi-VS-All	0.03907	0.03529	0.15117	9	-440.093249	10	-439.562770	1	1.06095800000003	0.302996789	 0.438160750617135
1000	Tmi-VS-All	0.02820	0.02550	0.12951	9	-19641.251953	10	-19619.628827	1	43.2462519999972	0.000000000	 0
10000	Tmi-VS-All	0.16195	0.15669	0.31785	9	-7084.467607	10	-7082.769198	1	3.39681799999926	0.065322318	 0.15255241328434
10002	Tmi-VS-All	0.09577	0.09678	0.07518	9	-3903.710896	10	-3903.619609	1	0.182574000000386	0.669170454	 0.76588590269942
10003	Tmi-VS-All	0.04316	0.04001	0.15294	9	-1366.246710	10	-1365.305123	1	1.8831739999996	0.169973840	 0.293079351774399
10005	Tmi-VS-All	0.19889	0.18236	0.38248	9	-1158.932021	10	-1158.077023	1	1.70999600000005	0.190985890	 0.316826452769797
10007	Tmi-VS-All	0.14987	0.14765	0.19228	9	-1683.048991	10	-1683.002087	1	0.0938079999996262	0.759390768	 0.836027343587025
10008	Tmi-VS-All	0.16405	0.16311	0.18152	9	-2649.207716	10	-2649.188932	1	0.0375679999997374	0.846313175	 0.897998594136598
10009	Tmi-VS-All	0.10783	0.10556	0.16986	9	-3824.279828	10	-3823.911712	1	0.7362320000002	0.390870583	 0.525433496653464
1001	Tmi-VS-All	0.07654	0.07205	0.21388	9	-8483.653738	10	-8478.173003	1	10.961470000002	0.000930260	 0.00816860820185185
10010	Tmi-VS-All	0.14025	0.14320	0.07540	9	-4153.569874	10	-4153.046738	1	1.04627199999959	0.306367244	 0.442156901910684
10014	Tmi-VS-All	0.10438	0.10102	0.20694	9	-5879.826407	10	-5878.344111	1	2.96459199999845	0.085105926	 0.182519600143342
10016	Tmi-VS-All	0.18094	0.18015	0.20010	9	-3181.736318	10	-3181.718481	1	0.0356740000006539	0.850190302	 0.90069948194652
10020	Tmi-VS-All	0.17291	0.17151	0.19684	9	-4184.873455	10	-4184.824915	1	0.0970799999995506	0.755362293	 0.832851135586516
10024	Tmi-VS-All	0.06360	0.05966	0.17806	9	-3311.800798	10	-3310.022280	1	3.55703600000015	0.059293527	 0.142790032340539
10025	Tmi-VS-All	0.03922	0.03818	0.06805	9	-3314.964742	10	-3314.630972	1	0.667540000000372	0.413910592	 0.546170484343367
10027	Tmi-VS-All	0.06017	0.05192	0.43185	9	-970.532088	10	-967.976244	1	5.11168800000019	0.023765187	 0.0772511348105046
